model_type,explainer,pair_id,step_label_A,step_label_B,n_train_A,n_train_B,n_eval,n_flagged,pr_auc_A,pr_auc_B,delta_perf,delta_Y,delta_X_wasserstein,delta_X_tv,n_subset,stoch_cos_A,stoch_cos_B,stoch_rbo_A,stoch_rbo_B,stoch_cos,stoch_rbo,stoch_n_runs,explainer_is_deterministic,explainer_stoch_max_abs,explainer_stoch_median_abs,shap_stochasticity,loc_cos,loc_rbo,base_cos_A,base_cos_B,base_rbo_A,base_rbo_B,global_rbo,coef_dyn_cos,coef_dyn_rbo
xgboost,shap,0,2019-06,2019-10,201133,251534,150860,15086,0.1573711484670639,0.1706523597240448,0.013281211256980896,0.0026058290120655886,37.61806280321621,0.07289811626908956,15086.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,,,,0.2564109265804291,0.5154814523330786,0.1351642906665802,0.12387435138225555,0.382795787284942,0.40569011926151144,0.3434849863509134,,
xgboost,lime,0,2019-06,2019-10,201133,251534,150860,15086,0.1573711484670639,0.1706523597240448,0.013281211256980896,0.0026058290120655886,37.61806280321621,0.07289811626908956,200.0,0.5085416734218597,0.5092095732688904,0.5965896074959737,0.382539954389846,0.5092095732688904,0.5965896074959737,5.0,False,,,,0.7369682192802429,0.9088161510195047,0.6215793490409851,0.580429419875145,0.8208039390823706,0.5823339810611978,,,
xgboost,shap,1,2019-09,2020-01,240927,284920,66283,6629,0.18980219960212708,0.20537526905536652,0.015573069453239441,0.006293356794844839,0.1129391703513347,0.04154785653006192,6629.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,,,,0.28864115476608276,0.6257600823994773,0.18710559606552124,0.12763798236846924,0.4183298700615302,0.5019711274153803,0.5591871237907313,,
xgboost,lime,1,2019-09,2020-01,240927,284920,66283,6629,0.18980219960212708,0.20537526905536652,0.015573069453239441,0.006293356794844839,0.1129391703513347,0.04154785653006192,200.0,0.5854069739580154,0.48523756861686707,0.5443455264874364,0.3819308320872402,0.5854069739580154,0.5443455264874364,5.0,False,,,,0.7514675110578537,0.8732748311673997,0.6515797823667526,0.5975041389465332,0.5993525549160403,0.42649467955027204,,,
xgboost,shap,2,2019-12,2020-04,289776,217143,47393,4740,0.1736464649438858,0.173343688249588,-0.00030277669429779053,0.006817060838143263,1.2928118269828879,0.030630046596974343,4740.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,,,,0.22945110499858856,0.5686641205528347,0.1261422038078308,0.13901527225971222,0.3812279670323699,0.5440612692803237,0.17299506221333338,,
xgboost,lime,2,2019-12,2020-04,289776,217143,47393,4740,0.1736464649438858,0.173343688249588,-0.00030277669429779053,0.006817060838143263,1.2928118269828879,0.030630046596974343,200.0,0.4024238884449005,0.4674142599105835,0.2660858874243428,0.4386028528208808,0.4674142599105835,0.4386028528208808,5.0,False,,,,0.616618275642395,0.7168652295439808,0.49863201379776,0.5518150627613068,0.4287311904645785,0.6155434515563339,,,
xgboost,shap,3,2020-03,2020-07,256899,113676,55519,5552,0.15255355834960938,0.14882560074329376,-0.003727957606315613,0.00337993485495372,526.3032018620834,0.06688968160182643,5552.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,,,,0.32814787328243256,0.6826226048741555,0.13089494407176971,0.17514319717884064,0.45069784026701054,0.5831714598130775,0.31315139513406265,,
xgboost,lime,3,2020-03,2020-07,256899,113676,55519,5552,0.15255355834960938,0.14882560074329376,-0.003727957606315613,0.00337993485495372,526.3032018620834,0.06688968160182643,200.0,0.5658501386642456,0.49849946796894073,0.6497005353926407,0.3420737053391957,0.5658501386642456,0.6497005353926407,5.0,False,,,,0.7221376746892929,0.7144684736999379,0.5845474600791931,0.6177245527505875,0.6792898423910788,0.4550605593858341,,,
logreg,coef,0,2019-06,2019-10,201133,251534,150860,15086,0.14234623312950134,0.15980760753154755,0.017461374402046204,0.0026058290120655886,37.61806280321621,0.07289811626908956,,,,,,,,,True,,,,,,0.6556111872196198,0.48177236318588257,0.7548810502187252,0.5634532429371703,,0.8397974967956543,0.9316084996417425
logreg,coef,1,2019-09,2020-01,240927,284920,66283,6629,0.178655207157135,0.1818472146987915,0.003192007541656494,0.006293356794844839,0.1129391703513347,0.04154785653006192,,,,,,,,,True,,,,,,0.1786964237689972,0.13020095229148865,0.5631926578099948,0.33520141172588697,,0.3365512490272522,0.5745376072512653
