model_type,explainer,pair_id,step_label_A,step_label_B,n_train_A,n_train_B,n_eval,n_flagged,pr_auc_A,pr_auc_B,delta_perf,delta_Y,delta_X_wasserstein,delta_X_tv,n_subset,stoch_cos_A,stoch_cos_B,stoch_rbo_A,stoch_rbo_B,stoch_cos,stoch_rbo,stoch_n_runs,explainer_is_deterministic,explainer_stoch_max_abs,explainer_stoch_median_abs,shap_stochasticity,loc_cos,loc_rbo,base_cos_A,base_cos_B,base_rbo_A,base_rbo_B,global_rbo,coef_dyn_cos,coef_dyn_rbo
xgboost,shap,0,2013-08,2014-01,71989,76050,31502,3151,0.8934574127197266,0.8935983777046204,0.00014096498489379883,0.004395167794875227,0.03285769016839488,0.015706081018778587,3151.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,,,,0.008880317211151123,0.14749977259084235,0.0031678378582000732,0.004100829362869263,0.06175966422254797,0.1148445298602121,0.124908376882918,,
xgboost,lime,0,2013-08,2014-01,71989,76050,31502,3151,0.8934574127197266,0.8935983777046204,0.00014096498489379883,0.004395167794875227,0.03285769016839488,0.015706081018778587,200.0,0.5348355919122696,0.28503815829753876,0.37543789417853723,0.1745422262544999,0.5348355919122696,0.37543789417853723,5.0,False,,,,0.510974332690239,0.600132429617171,0.5322380661964417,0.4167877733707428,0.3903813687919496,0.29339139758302857,,,
xgboost,shap,1,2013-12,2014-05,74193,74120,27907,2791,0.8922250866889954,0.8959774971008301,0.003752410411834717,0.014302688254999585,0.04344015721554262,0.05345386228409725,2791.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,,,,0.006658613681793213,0.1630543099693178,0.0020515024662017822,0.006186366081237793,0.11547357078147169,0.1253776198959452,0.11874398144445475,,
xgboost,lime,1,2013-12,2014-05,74193,74120,27907,2791,0.8922250866889954,0.8959774971008301,0.003752410411834717,0.014302688254999585,0.04344015721554262,0.05345386228409725,200.0,0.5018797963857651,0.43750227987766266,0.35483465685691884,0.23268571303543495,0.5018797963857651,0.35483465685691884,5.0,False,,,,0.5038322657346725,0.37190643721770367,0.5237281322479248,0.47550900280475616,0.3909672624001119,0.3326158769254857,,,
xgboost,shap,2,2014-04,2014-09,75241,76600,22237,2224,0.8665505051612854,0.8666329979896545,8.249282836914062e-05,0.01152486893030899,0.05863913368802917,0.055172216113112425,2224.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,,,,0.032471030950546265,0.3183623678775508,0.00264190137386322,0.0009632855653762817,0.05834900020955003,0.07101554619802297,0.20619638654211525,,
xgboost,lime,2,2014-04,2014-09,75241,76600,22237,2224,0.8665505051612854,0.8666329979896545,8.249282836914062e-05,0.01152486893030899,0.05863913368802917,0.055172216113112425,200.0,0.418309286236763,0.08456392586231232,0.2862035610646269,0.18588270806496815,0.418309286236763,0.2862035610646269,5.0,False,,,,0.7089148014783859,0.8099534966776085,0.47681108117103577,0.08742758631706238,0.3468759588996052,0.19687801745580571,,,
xgboost,shap,3,2014-08,2015-01,79803,67966,30343,3035,0.8680097460746765,0.8718173503875732,0.0038076043128967285,0.00566522238571851,0.06065062003041659,0.04033608051757306,3035.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,,,,0.009301692247390747,0.12600036506175383,0.0025612711906433105,0.003662675619125366,0.06761806814242688,0.10230059051307933,0.029602356656352025,,
xgboost,lime,3,2014-08,2015-01,79803,67966,30343,3035,0.8680097460746765,0.8718173503875732,0.0038076043128967285,0.00566522238571851,0.06065062003041659,0.04033608051757306,200.0,0.2261219322681427,0.3850163668394089,0.1490299625297007,0.2219793998011611,0.3850163668394089,0.2219793998011611,5.0,False,,,,0.3394453525543213,0.3530197626678433,0.24701930582523346,0.37442126870155334,0.17203456345461057,0.452066661919977,,,
logreg,coef,0,2013-08,2014-01,71989,76050,31502,3151,0.872075080871582,0.8726105093955994,0.000535428524017334,0.004395167794875227,0.03285769016839488,0.015706081018778587,,,,,,,,,True,,,,,,0.02203744649887085,0.019110888242721558,0.11405615585382006,0.013225842627569595,,0.03485122323036194,0.12559204988688755
logreg,coef,1,2013-12,2014-05,74193,74120,27907,2791,0.8727521896362305,0.8747672438621521,0.002015054225921631,0.014302688254999585,0.04344015721554262,0.05345386228409725,,,,,,,,,True,,,,,,0.018318861722946167,0.02244943380355835,0.016159953057799326,0.02448307567971897,,0.03681063652038574,0.021332007824630073
logreg,coef,2,2014-04,2014-09,75241,76600,22237,2224,0.8372110724449158,0.8467493653297424,0.00953829288482666,0.01152486893030899,0.05863913368802917,0.055172216113112425,,,,,,,,,True,,,,,,0.02150142192840576,0.018841087818145752,0.028490645433165374,0.11120832074960113,,0.03470444679260254,0.11953180424431359
logreg,coef,3,2014-08,2015-01,79803,67966,30343,3035,0.8287544250488281,0.8347904682159424,0.006036043167114258,0.00566522238571851,0.06065062003041659,0.04033608051757306,,,,,,,,,True,,,,,,0.017768293619155884,0.023920327425003052,0.023626883781374286,0.02222098251561655,,0.04707875847816467,0.1561787632187438
