model_type,explainer,pair_id,step_label_A,step_label_B,n_train_A,n_train_B,n_eval,n_flagged,pr_auc_A,pr_auc_B,delta_perf,delta_Y,delta_X,n_subset,stoch_cos_A,stoch_cos_B,stoch_rbo_A,stoch_rbo_B,stoch_cos,stoch_rbo,stoch_n_runs,explainer_is_deterministic,loc_cos,loc_rbo,base_cos_A,base_cos_B,base_rbo_A,base_rbo_B,global_rbo,coef_dyn_cos,coef_dyn_rbo
xgboost,shap,0,2013-03-25,2013-04-08,66292,100342,51585,5159,0.4241476058959961,0.39096546173095703,-0.03318214416503906,0.013524345904327523,0.03239184508706045,5159.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.2262287735939026,0.40311541140692814,0.11932936310768127,0.08748060464859009,0.346096119033705,0.2969893479826618,0.2953826440326719,,
xgboost,lime,0,2013-03-25,2013-04-08,66292,100342,51585,5159,0.4241476058959961,0.39096546173095703,-0.03318214416503906,0.013524345904327523,0.03239184508706045,400.0,0.05866740643978119,0.11982958018779755,0.2337267006402569,0.24481558284819946,0.11982958018779755,0.24481558284819946,8.0,False,0.46907855570316315,0.5608903497587193,0.18080401420593262,0.2547113597393036,0.4089593314982431,0.40577608301412627,,,
xgboost,shap,1,2013-04-01,2013-04-15,95317,94063,48674,4868,0.42022737860679626,0.38363614678382874,-0.03659123182296753,0.011292845306493188,0.03273311020851404,4868.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.08545511960983276,0.31974037035053304,0.021395012736320496,0.11186103522777557,0.2459455751824986,0.32796553287779107,0.21288347934129626,,
xgboost,lime,1,2013-04-01,2013-04-15,95317,94063,48674,4868,0.42022737860679626,0.38363614678382874,-0.03659123182296753,0.011292845306493188,0.03273311020851404,400.0,0.11649195849895477,0.3018869012594223,0.25515489146777226,0.37013782181518107,0.3018869012594223,0.37013782181518107,8.0,False,0.30505983531475067,0.4618823118093657,0.1734362095594406,0.34882646799087524,0.3947301042284521,0.4790544345933043,,,
logreg,coef,0,2013-03-25,2013-04-08,66292,100342,51585,5159,0.3958272635936737,0.4097882807254791,0.01396101713180542,0.013524345904327523,0.03239184508706045,,,,,,,,,True,,,0.08860158920288086,0.18834194540977478,0.2346312165798305,0.29737234304209226,,0.39632514119148254,0.4823880283933478
logreg,coef,1,2013-04-01,2013-04-15,95317,94063,48674,4868,0.42918604612350464,0.4367428123950958,0.0075567662715911865,0.011292845306493188,0.03273311020851404,,,,,,,,,True,,,0.1580556035041809,0.23383009433746338,0.2655234778940103,0.4289498880291191,,0.265230655670166,0.4479954428970399
mlp_plr,shap,0,2013-03-25,2013-04-08,66292,100342,51585,5159,0.4176337718963623,0.3908540904521942,-0.02677968144416809,0.013524345904327523,0.03239184508706045,400.0,0.011473879218101501,0.008645251393318176,0.192273093427461,0.12823321507100516,0.011473879218101501,0.192273093427461,8.0,False,0.298408642411232,0.5218831797936125,0.292687252163887,0.29340822994709015,0.5100007528794199,0.5088525556415527,0.2634116695225771,,
mlp_plr,lime,0,2013-03-25,2013-04-08,66292,100342,51585,5159,0.4176337718963623,0.3908540904521942,-0.02677968144416809,0.013524345904327523,0.03239184508706045,400.0,0.30039842426776886,0.12473686039447784,0.39269528881705534,0.2398653950734459,0.30039842426776886,0.39269528881705534,8.0,False,0.7919821590185165,0.7719674236254069,0.8403182774782181,0.6686678230762482,0.8162270180254523,0.6559539615057874,,,
mlp_plr,shap,1,2013-04-01,2013-04-15,95317,94063,48674,4868,0.4215094745159149,0.4099443554878235,-0.01156511902809143,0.011292845306493188,0.03273311020851404,400.0,0.285343199968338,0.1973545104265213,0.39407835290721444,0.3379692568004605,0.285343199968338,0.39407835290721444,8.0,False,0.5931181013584137,0.574230275974553,0.5050704330205917,0.6006894558668137,0.5406842477175935,0.5800461572587685,0.25841843697580513,,
mlp_plr,lime,1,2013-04-01,2013-04-15,95317,94063,48674,4868,0.4215094745159149,0.4099443554878235,-0.01156511902809143,0.011292845306493188,0.03273311020851404,400.0,0.3869108408689499,0.7133685797452927,0.46070255345821703,0.7113422149186441,0.7133685797452927,0.7113422149186441,8.0,False,0.8899226039648056,0.8020203940822561,0.8285536468029022,0.8965175747871399,0.7521003980465208,0.8370186106750699,,,
